application_id;composant_id;Commentaire;perimetre_id;type_id;ENVIRONNEMENT;phase_id;USAGE;NOMUSAGE;lot_id;etat_id;DATELIVRAISON;volumetrie_id;Puissance;architecture_id;CONNECT;PVU;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RDD;DATASTAGE;;DSI-T;Pré-production;DS-SNCF;;PREPROD303;PREPROD303;303;Désactivé;05/11/2011;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RDD;DATASTAGE;;DSI-T;Production;DS-SNCF;;PROD303;PROD303;303;Désactivé;05/11/2011;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RDD;SSIS;;MOA;Recette;SSIS-SNCF;RDD;REC303;REC303;303;Désactivé;05/11/2011;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RDD;SSIS;;MOA;Marche à blanc;SSIS-SNCF;;MAB303;MAB;303;Désactivé;05/11/2011;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
COHERENCE;SSIS;;DSI-T;Production;SSIS-SNCF;;PROD303;PROD303;303;Désactivé;05/11/2011;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RDD;SSIS;;DSI-T;Production;SSIS-SNCF;;PROD303;REC303;303;Désactivé;05/11/2011;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RDD-PMS;SSIS;;MOA;Marche à blanc;SSIS-SNCF;;MABPMS303;MAB;303;Désactivé;05/11/2011;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RDD-PMS;SSIS;;MOA;Recette;SSIS-SNCF;RDD;RECPMS303;REC303;303;Livré;05/11/2011;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RDD-PMS;SSIS;;DSI-T;Production;SSIS-SNCF;;PRODPMS303;MAB;303;Désactivé;05/11/2011;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GMAO MR;MAXIMO;conception;MOA;Formation;FORM1;;EPI-C0;EPI-C0;303;Désactivé;25/11/2011;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GMAO MR;MAXIMO;conception;MOA;Formation;FORM4;E-LEARNING 303;E-LEARNING;E-LEARNING;303;Livré;25/11/2011;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GMAO MR;MAXIMO;conception;MOA;Formation;FORM5;BAC A SABLE 303;BAC A SABLE;BAC A SABLE;303;Livré;25/11/2011;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
COHERENCE;MDM;1 environnement pour 1 compagnies;MOA;Formation;COHFORM;BAC A SABLE 303;EPI-COH;EPI-COH;303;Livré;02/01/2012;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
COHERENCE;MDM;1 environnement pour 1 compagnies;MOA;Recette;RECRDD303;;RDD;RDD;303;Désactivé;16/01/2012;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
